,name,other,comma,dot
0,Acuyo, fruit of Piper sanctum,Central America,
1,African bdellium, see Opopanax,,
2,African cubebs, see Ashanti pepper,,
3,agaru, see Aloeswood,,
4,"Ajowan, ammi, *black cumin, 'Ethiopian cumin', omum", seed of Trachyspermum ammi,Near East,
5,Alkanet, juice of Anchusa officinalis,Near East,
6,"Allspice, Jamaica pepper, *pimento", fruit of Pimenta dioica,Caribbean,See also Wild allspice
7,Aloe vera, juice of Aloe barbadensis,Arabia,
8,Aloes, juice of Aloe perryi,Arabia,
9,"Aloeswood, agaru, eaglewood, gharroowood", diseased wood of Aquilaria malaccensis and A. sinensis,south-east Asia,
10,Amber, fossilized resin,northern Europe and elsewhere,See also Ambergris; Ladanum
11,"Ambergris, 'amber'", secretion of Physeter macrocephalus,Indian Ocean,
12,"Ambrette, musk mallow", fruit of Abelmoschus moschatus,southern Asia,
13,American ginseng, root of Panax quinquefolius,North America,
14,"American storax, American sweet gum", see Sweet gum,,
15,ammi, see Ajowan,,
16,'Amomum' in Classical texts, possibly Nepaul cardamom and Bengal cardamom,,
17,ancho, see Chilli,,
18,Anise, pimpinella anisum,Asia Minor,See also Star anise
19,Annatto, juice of Bixa orellana,Central America,
20,apple chilli, see Rocoto,,
21,Arabica coffee, see Coffee,,
22,"Areca nut, betel nut", Areca catechu,southeast,
23,"Asafoetida, hing", resin of Ferula assa-foetida and F. foetida,central Asia,
24,pepper, fruit of Piper clusii,west Africa,
25,Attar of roses, oil of Rosa centifolia (cabbage rose),"Rosa damascena (damask rose), Near East",
26,baies roses, see Pink peppercorns,,
27,Balm of Gilead, resin of Populus candicans,North America,See also Balsam of Mecca
28,balsam, see also Siam benzoin; Sweet gum,,
29,Balsam of Copaiba, resin of Copaifera langsdorffii,South America,
30,"Balsam of Mecca, 'balm of Gilead'", resin of Commiphora opobalsamum,Arabia,
31,Balsam of Peru, resin of Myroxylon balsamum var. pereirae,El Salvador,
32,Balsam of Tolu, resin of Myroxylon balsamum,South America,
33,Bastard cardamom, fruit of Amomum xanthioides and other species,southeast Asia,
34,Batavia cinnamon, see Padang cinnamon,,
35,"Bay rum tree, West Indian bay, oil of bay", Pimenta acris,Caribbean,
36,bdellium, see Gum guggul; Opopanax,,
37,Bengal cardamom, fruit of Amomum aromaticum,eastern Himalayas,
38,"Benin pepper, *Guinea pepper, West African pepper", fruit of Piper guineense,Nigeria,
39,benzoin, see Siam benzoin; Sumatra benzoin,,
40,Betel leaf, Piper betle,south-east Asia,
41,betel nut, see Areca nut,,
42,bilsted, see Sweet gum,,
43,bissabol, see Opopanax,,
44,black cumin, see Ajowan; Nigella,,
45,black pepper, see Pepper,,
46,"Bombay mastic, Turk terebinth", Pistacia mutica,Middle East,
47,Borneo camphor, See Camphor of Baros,,
48,Brazilwood, Haematoxylon brasiletto and other species,Central and South America,See also Sappanwood
49,brea, see Elemi,,
50,"'Calamus', 'sweet reed', 'scented cane' in Biblical and Classical translations", possibly lemon grass or ginger-grass,,
51,Californian pepper, see Pink peppercorns,,
52,Cambodian cardamom, fruit of Amomum krervanh,Indochina,
53,Cameroon cardamom, fruit of Aframomum hanburyi,central Africa,
54,"Camphor of Baros, Borneo camphor", crystallized resin of Dryobalanops aromatica,Indonesia,
55,"Camphor, Chinese camphor", crystallized resin of Cinnamomum camphora,China,
56,Candy carrot, seed of Athamanta cretensis,Crete,
57,cane sugar, see Sugar,,
58,Canela, Ocotea sassafras,"Brazil; Ocotea usambarensis, east Africa",
