,glcode,name,iso,level,macroarea,lat,lon,from,family,country
0,gane1238,!Gã!ne,,language,Africa,-31.32,28.75,glot,Tuu,ZA
1,oung1238,!O!ung,oun,language,Africa,-15.3,14.35,glot,,
2,kwii1241,!Ui,,family,,,,glot,Tuu,
3,abda1238,'Abd Al-Kuri,,dialect,Africa,12.1959,52.2282,glot,Afro-Asiatic,YE
4,aden1242,'Aden,,dialect,Eurasia,,,glot,Afro-Asiatic,
5,alga1234,'Algaden,,dialect,Africa,,,glot,Afro-Asiatic,
6,area1240,'Are'are,alu,language,Papunesia,-9.20699,161.158,glot,Austronesian,SB
7,auhe1237,'Auhelawa,kud,language,Papunesia,-10.0959,151.002,glot,Austronesian,PG
8,bali1276,'Bali'ba,,dialect,Africa,,,glot,cent2225,
9,bule1242,'Bulengee,,dialect,Africa,,,glot,Atlantic-Congo,
10,doli1238,'Dolimi,,dialect,Africa,,,glot,Atlantic-Congo,
11,olee1239,'Ole,,dialect,Eurasia,,,glot,Sino-Tibetan,
12,anii1246,//Ani,hnh,language,Africa,-19.0966,22.9088,glot,Khoe–Kwadi,BW
13,gana1274,//Gana,gnk,language,Africa,-21.8555,22.2003,glot,Khoe–Kwadi,BW
14,xegw1238,//Xegwi,xeg,language,Africa,-26.3407,30.4028,glot,Tuu,ZA
15,qabe1238,/=Haba,,dialect,Africa,,,glot,Khoe–Kwadi,
16,kxau1242,/=Ungkue,gku,dialect,Africa,-29.4046,22.2901,glot,Tuu,ZA
17,gwii1239,/Gwi,gwj,language,Africa,-22.2708,21.9431,glot,Khoe–Kwadi,BW
18,xamm1241,/Xam,xam,language,Africa,-31.7612,20.1733,glot,Tuu,ZA
19,3adt1234,3Ad-Tekles,,dialect,Africa,,,glot,Afro-Asiatic,
20,aben1248,A'beng,,dialect,Eurasia,,,glot,Sino-Tibetan,
21,achi1255,A'chick,,dialect,Eurasia,,,glot,Sino-Tibetan,
22,aoua1234,A'ou,aou,language,Eurasia,26.8,105.85,glot,taik1256,CN
23,awee1241,A'we,,dialect,Eurasia,,,glot,Sino-Tibetan,
24,ahkk1235,AHK,,family,,,,glot,sout2845,
25,apam1237,AP-AM-AH,,family,,,,glot,quec1387,
26,aala1237,Aalawa,,dialect,Papunesia,,,glot,Austronesian,
27,aant1238,Aantantara,,dialect,Papunesia,,,glot,Nuclear Trans New Guinea,
28,aari1239,Aari,aiw,language,Africa,5.95034,36.5721,glot,sout2845,ET
29,aari1238,Aari-Gayil,aiz,family,,,,glot,sout2845,
30,aari1240,Aariya,aay,language,Eurasia,,,glot,,
31,aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648,glot,Afro-Asiatic,TZ
32,aasd1234,Aasdring,,dialect,Eurasia,,,glot,Indo-European,
33,aata1238,Aatasaara,,dialect,Papunesia,,,glot,Nuclear Trans New Guinea,
34,abab1239,Ababda,,dialect,Africa,,,glot,Afro-Asiatic,
35,abab1240,Ababuan,,family,,,,glot,Atlantic-Congo,
36,abad1243,Abadani,,dialect,Eurasia,,,glot,Indo-European,
37,abad1242,Abadei,,dialect,Eurasia,,,glot,Indo-European,
38,abad1241,Abadi,kbt,language,Papunesia,-9.03389,146.992,glot,Austronesian,PG
39,abad1240,Abadzex,,dialect,Eurasia,,,glot,abkh1242,
40,abag1245,Abaga,abg,language,Papunesia,-6.12028,145.665,glot,Nuclear Trans New Guinea,PG
41,abai1239,Abai,,dialect,Papunesia,,,glot,Austronesian,
42,abai1240,Abai Sungai,abf,language,Papunesia,5.55394,118.306,glot,Austronesian,MY
43,abai1241,Abai Tubu-Abai Sembuak,,language,Papunesia,3.524226,116.162455,glot,Austronesian,ID
44,abaj1234,Abajeño Mexican Spanish,,dialect,Eurasia,,,glot,Indo-European,
45,abak1242,Abak,,dialect,Africa,,,glot,Atlantic-Congo,
46,abak1243,Abaka,,dialect,Papunesia,,,glot,Austronesian,
47,abal1238,Abaletti,,dialect,Papunesia,,,glot,yele1255,
48,abam1239,Abam,,dialect,Papunesia,,,glot,east2503,
49,aban1243,Abancay,,dialect,South America,,,glot,quec1387,
50,aban1242,Abanyom,abm,language,Africa,6.30619,8.63055,glot,Atlantic-Congo,NG
51,aban1245,Abanyom-Nkem-Nkum,,family,,,,glot,Atlantic-Congo,
