,iso,glcode,language,level,branch,family,macroarea,country,lat,lon,from
0,pst,sino1245,Proto-Sino-Tibetan,proto-language,,Sino-Tibetan,Asia,,24.0,100.0,manual
1,pii,,Proto-Iranian,proto-language,,Indo-European,Eurasia,,45.0,65.0,manual
2,dra,drav1251,Proto-Dravidian,proto-language,,Dravidian,Asia,IN SL,11.0,78.0,manual
3,,gane1238,!Gã!ne,language,,Tuu,Africa,ZA,-31.32,28.75,glot
4,oun,oung1238,!O!ung,language,,,Africa,,-15.3,14.35,glot
5,,kwii1241,!Ui,family,,Tuu,,,,,glot
6,knw,kung1261,!Xun (Ekoka),language,Ju-Kung,Kxa,Africa,NA AO,-19.6666666667,18.0,wals1
7,nmn,xooo1239,!Xóõ,language,Tu,Tu,Africa,BW,-24.0,21.5,wals1
8,,abda1238,'Abd Al-Kuri,dialect,,Afro-Asiatic,Africa,YE,12.1959,52.2282,glot
9,,aden1242,'Aden,dialect,,Afro-Asiatic,Eurasia,,,,glot
10,,alga1234,'Algaden,dialect,,Afro-Asiatic,Africa,,,,glot
11,alu,area1240,'Are'are,language,Oceanic,Austronesian,Papunesia,SB,-9.25,161.166666667,wals1
12,kud,auhe1237,'Auhelawa,language,,Austronesian,Papunesia,PG,-10.0959,151.002,glot
13,,bali1276,'Bali'ba,dialect,,cent2225,Africa,,,,glot
14,,bule1242,'Bulengee,dialect,,Atlantic-Congo,Africa,,,,glot
15,,doli1238,'Dolimi,dialect,,Atlantic-Congo,Africa,,,,glot
16,,olee1239,'Ole,dialect,,Sino-Tibetan,Eurasia,,,,glot
17,hnh,anii1246,//Ani,language,Khoe-Kwadi,Khoe-Kwadi,Africa,BW,-18.9166666667,21.9166666667,wals1
18,gnk,gana1274,//Gana,language,,Khoe–Kwadi,Africa,BW,-21.8555,22.2003,glot
19,xeg,xegw1238,//Xegwi,language,,Tuu,Africa,ZA,-26.3407,30.4028,glot
20,,qabe1238,/=Haba,dialect,,Khoe–Kwadi,Africa,,,,glot
21,gku,kxau1242,/=Ungkue,dialect,,Tuu,Africa,ZA,-29.4046,22.2901,glot
22,gwj,gwii1239,/Gwi,language,,Khoe–Kwadi,Africa,BW,-22.2708,21.9431,glot
23,xam,xamm1241,/Xam,language,Tu,Tu,Africa,ZA,-31.0,21.0,wals1
24,,3adt1234,3Ad-Tekles,dialect,,Afro-Asiatic,Africa,,,,glot
25,huc,huaa1248,=|Hoan,language,=|Hoan,Kxa,Africa,BW,-25.5,25.0,wals1
26,,aben1248,A'beng,dialect,,Sino-Tibetan,Eurasia,,,,glot
27,,achi1255,A'chick,dialect,,Sino-Tibetan,Eurasia,,,,glot
28,aou,aoua1234,A'ou,language,,taik1256,Eurasia,CN,26.8,105.85,glot
29,,awee1241,A'we,dialect,,Sino-Tibetan,Eurasia,,,,glot
30,apq,apuc1241,A-Pucikwar,language,Great Andamanese,Great Andamanese,Eurasia,IN,12.1666666667,92.8333333333,wals1
31,,ahkk1235,AHK,family,,sout2845,,,,,glot
32,,apam1237,AP-AM-AH,family,,quec1387,,,,,glot
33,,aala1237,Aalawa,dialect,,Austronesian,Papunesia,,,,glot
34,,aant1238,Aantantara,dialect,,Nuclear Trans New Guinea,Papunesia,,,,glot
35,aiw,aari1239,Aari,language,South Omotic,Afro-Asiatic,Africa,ET,6.0,36.5833333333,wals1
36,aiz,aari1238,Aari-Gayil,family,,sout2845,,,,,glot
37,aay,aari1240,Aariya,language,,,Eurasia,,,,glot
38,aas,aasa1238,Aasax,language,,Afro-Asiatic,Africa,TZ,-4.00679,36.8648,glot
39,,aasd1234,Aasdring,dialect,,Indo-European,Eurasia,,,,glot
40,,aata1238,Aatasaara,dialect,,Nuclear Trans New Guinea,Papunesia,,,,glot
41,,abab1239,Ababda,dialect,,Afro-Asiatic,Africa,,,,glot
42,,abab1240,Ababuan,family,,Atlantic-Congo,,,,,glot
43,,abad1243,Abadani,dialect,,Indo-European,Eurasia,,,,glot
44,,abad1242,Abadei,dialect,,Indo-European,Eurasia,,,,glot
45,kbt,abad1241,Abadi,language,,Austronesian,Papunesia,PG,-9.03389,146.992,glot
46,,abad1240,Abadzex,dialect,,abkh1242,Eurasia,,,,glot
