,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
0,knw,kung1261,!Xun (Ekoka),-19.6666666667,18.0,Ju-Kung,Kxa,Africa,NA AO,,language,wals1
1,nmn,xooo1239,!Xóõ,-24.0,21.5,Tu,Tu,Africa,BW,2 Words derived from Min Nan Chinese te,language,wals1
2,alu,area1240,'Are'are,-9.25,161.166666667,Oceanic,Austronesian,Papunesia,SB,,language,wals1
3,hnh,anii1246,//Ani,-18.9166666667,21.9166666667,Khoe-Kwadi,Khoe-Kwadi,Africa,BW,,language,wals1
4,xam,xamm1241,/Xam,-31.0,21.0,Tu,Tu,Africa,ZA,,language,wals1
5,huc,huaa1248,=|Hoan,-25.5,25.0,=|Hoan,Kxa,Africa,BW,,language,wals1
6,apq,apuc1241,A-Pucikwar,12.1666666667,92.8333333333,Great Andamanese,Great Andamanese,Eurasia,IN,,language,wals1
7,aiw,aari1239,Aari,6.0,36.5833333333,South Omotic,Afro-Asiatic,Africa,ET,,language,wals1
8,aau,abau1245,Abau,-4.0,141.25,Upper Sepik,Sepik,Papunesia,PG,,language,wals1
9,abq,abaz1241,Abaza,44.0,42.0,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,1 Words derived from Sinitic cha,language,wals1
10,abe,west2630,Abenaki (Western),44.0,-72.25,Algonquian,Algic,North America,US CA,,language,wals1
11,abi,abid1235,Abidji,5.66666666667,-4.58333333333,Kwa,Niger-Congo,Africa,CI,,language,wals1
12,axb,abip1241,Abipón,-29.0,-61.0,South Guaicuruan,Guaicuruan,South America,AR,,language,wals1
13,abk,abkh1244,Abkhaz,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,Eurasia,GE,,language,wals1
14,abz,abui1241,Abui,-8.25,124.666666667,Greater Alor,Timor-Alor-Pantar,Papunesia,ID,,language,wals1
15,kgr,abun1252,Abun,-0.5,132.5,North-Central Bird's Head,West Papuan,Papunesia,ID,,language,wals1
16,ace,achi1257,Acehnese,5.5,95.5,Malayo-Sumbawan,Austronesian,Eurasia,ID,2 Words derived from Min Nan Chinese te,language,wals1
17,aca,acha1250,Achagua,4.41666666667,-72.25,Inland Northern Arawakan,Arawakan,South America,CO,,language,wals1
18,acn,acha1249,Achang,25.0,98.5,Burmese-Lolo,Sino-Tibetan,Eurasia,MM CN,,language,wals1
19,ach,acol1236,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,Africa,UG SD,,language,wals1
20,acu,achu1248,Achuar,-2.66667,-76.0,Jivaroan,Jivaroan,South America,PE,,language,wals1
