,skip,language,term,transliteration,item,group,iso,glcode,level,branch,family,macroarea,country,lat,lon,from,text
0,,Afrikaans,kaneel,,kaneel,canela,afr,afri1274,language,Germanic,Indo-European,Africa,ZA,-31.0,22.0,wals1,kaneel<br>Language: Afrikaans<br>Family: Indo-European
36,,Estonian,kaneel,,kaneel,canela,est,esto1258,language,Finnic,Uralic,Eurasia,EE,59.0,26.0,wals1,kaneel<br>Language: Estonian<br>Family: Uralic
37,,Faroese,kanel,,kanel,canela,fao,faro1244,language,Germanic,Indo-European,Eurasia,DK,62.0,-7.0,wals1,kanel<br>Language: Faroese<br>Family: Indo-European
38,,Finnish,kaneli,,kaneli,canela,fin,finn1318,language,Finnic,Uralic,Eurasia,FI,62.0,25.0,wals1,kaneli<br>Language: Finnish<br>Family: Uralic
39,,French,cannelle,,cannelle,canela,fra,stan1290,language,Romance,Indo-European,Eurasia,CH FR,48.0,2.0,wals1,cannelle<br>Language: French<br>Family: Indo-European
40,,Frisian,kaniel,,kaniel,canela,frs,east2288,language,Germanic,Indo-European,Eurasia,DE NL,53.0,5.0,wals1,kaniel<br>Language: Frisian<br>Family: Indo-European
41,,Galician,canela,,canela,canela,glg,gali1258,language,Romance,Indo-European,Eurasia,ES,43.0,-8.0,wals1,canela<br>Language: Galician<br>Family: Indo-European
44,,German,Kaneel,,Kaneel,canela,deu,stan1295,language,Germanic,Indo-European,Eurasia,AT DE CH,52.0,10.0,wals1,Kaneel<br>Language: German<br>Family: Indo-European
48,,Haitian Creole,kannèl,,kannèl,canela,hat,hait1244,language,Creoles and Pidgins,other,North America,HT,19.0,-72.5,wals1,kannèl<br>Language: Haitian Creole<br>Family: other
55,,Icelandic,"kanill, kanell",,"kanill, kanell",canela,isl,icel1247,language,Germanic,Indo-European,Eurasia,IS,65.0,-17.0,wals1,"kanill, kanell<br>Language: Icelandic<br>Family: Indo-European"
57,,Irish,cainéal,,cainéal,canela,gle,iris1253,language,Celtic,Indo-European,Eurasia,IE,53.0,-8.0,wals1,cainéal<br>Language: Irish<br>Family: Indo-European
58,,Italian,cannella,,cannella,canela,ita,ital1282,language,Romance,Indo-European,Eurasia,IT CH,43.0,12.0,wals1,cannella<br>Language: Italian<br>Family: Indo-European
30,,Dutch,kaneel,,kaneel,canela,nld,dutc1256,language,Germanic,Indo-European,Eurasia,NL,52.5,6.0,wals1,kaneel<br>Language: Dutch<br>Family: Indo-European
63,,Kabuverdianu,kanéla,,kanéla,canela,kea,kabu1256,language,,Indo-European,Africa,CV,15.0586,-23.6148,glot,kanéla<br>Language: Kabuverdianu<br>Family: Indo-European
77,,Luxemburgish,kanéil,,kanéil,canela,,luxe1243,dialect,,Indo-European,Eurasia,,49.68,6.15,glot,kanéil<br>Language: Luxemburgish<br>Family: Indo-European
80,,Malagasy,kanelina,,kanelina,canela,plt,plat1254,language,Barito,Austronesian,Africa,MG,-20.0,47.0,wals1,kanelina<br>Language: Malagasy<br>Family: Austronesian
83,,Maltese,kannella,,kannella,canela,mlt,malt1254,language,Semitic,Afro-Asiatic,Eurasia,MT,35.9166666667,14.4166666667,wals1,kannella<br>Language: Maltese<br>Family: Afro-Asiatic
90,,Modern Greek,κανέλα,kanéla,kanéla,canela,ell,mode1248,language,,Indo-European,Eurasia,AL BG CY EG GR IT MK RO TR UA,38.36,23.13,glot,κανέλα <br>kanéla<br>Language: Modern Greek<br>Family: Indo-European
98,,Norwegian,kanel,,kanel,canela,nob,norw1259,language,Germanic,Indo-European,Eurasia,NO,61.0,8.0,wals1,kanel<br>Language: Norwegian<br>Family: Indo-European
99,,Occitan,canèla,,canèla,canela,oci,occi1239,language,Romance,Indo-European,Eurasia,FR,44.0,2.0,wals1,canèla<br>Language: Occitan<br>Family: Indo-European
105,,Portuguese,canela,,canela,canela,por,port1283,language,Romance,Indo-European,Eurasia,PT,39.0,-8.0,wals1,canela<br>Language: Portuguese<br>Family: Indo-European
110,,Scottish Gaelic,caineal,,caineal,canela,gla,scot1245,language,,Indo-European,Eurasia,GB,56.7574,-5.24366,glot,caineal<br>Language: Scottish Gaelic<br>Family: Indo-European
119,,Spanish,canela,,canela,canela,spa,stan1288,language,Romance,Indo-European,Eurasia,ES,40.0,-4.0,wals1,canela<br>Language: Spanish<br>Family: Indo-European
123,,Swedish,kanel,,kanel,canela,swe,swed1254,language,Germanic,Indo-European,Eurasia,FI SE,60.0,15.0,wals1,kanel<br>Language: Swedish<br>Family: Indo-European
124,,Tagalog,kanela,,kanela,canela,tgl,taga1270,language,Greater Central Philippine,Austronesian,Papunesia,PH,15.0,121.0,wals1,kanela<br>Language: Tagalog<br>Family: Austronesian
76,,Low German,Kaneel,,Kaneel ,canela,nds,nort2627,language,Germanic,Indo-European,Eurasia,DE,53.0,10.0,wals1,Kaneel <br>Language: Low German<br>Family: Indo-European
28,,Danish,kanel,,kanel,canela,dan,dani1285,language,Germanic,Indo-European,Eurasia,DK,56.0,10.0,wals1,kanel<br>Language: Danish<br>Family: Indo-European
73,,Latvian,kanēlis,,kanēlis,canela,lav,latv1249,language,Baltic,Indo-European,Eurasia,LV,57.0,24.0,wals1,kanēlis<br>Language: Latvian<br>Family: Indo-European
16,,Catalan,"canyella, canella",,"canyella, canella",canela,cat,stan1289,language,Romance,Indo-European,Eurasia,ES,41.75,2.0,wals1,"canyella, canella<br>Language: Catalan<br>Family: Indo-European"
13,,Bulgarian,кане́ла,kanéla,kanéla,canela,bul,bulg1262,language,Slavic,Indo-European,Eurasia,BG,42.5,25.0,wals1,кане́ла <br>kanéla<br>Language: Bulgarian<br>Family: Indo-European
11,,Breton,kanell,,kanell,canela,bre,bret1244,language,Celtic,Indo-European,Eurasia,FR,48.0,-3.0,wals1,kanell<br>Language: Breton<br>Family: Indo-European
1,,Albanian,kanellë,,kanellë,canela,aln,tosk1239,language,Albanian,Indo-European,Eurasia,AL RS,41.0,20.0,wals1,kanellë<br>Language: Albanian<br>Family: Indo-European
24,,Corsican,cannella,,cannella,canela,cos,cors1241,language,,Indo-European,Eurasia,FR IT,41.7,9.25537,glot,cannella<br>Language: Corsican<br>Family: Indo-European
7,,Basque,kanela,,kanela,canela,eus,basq1248,language,Basque,Basque,Eurasia,FR ES,43.0,-3.0,wals1,kanela<br>Language: Basque<br>Family: Basque
72,,Latin,"cinnamōmum, cinnamum",,"cinnamōmum, cinnamum",kinnamon,lat,lati1261,language,,Indo-European,Eurasia,VA,41.9026,12.4502,glot,"cinnamōmum, cinnamum<br>Language: Latin<br>Family: Indo-European"
74,,Lithuanian,cinamonas,,cinamonas,kinnamon,lit,lith1251,language,Baltic,Indo-European,Eurasia,LT,55.0,24.0,wals1,cinamonas<br>Language: Lithuanian<br>Family: Indo-European
78,,Macedonian,цимет,cimet,cimet,kinnamon,mkd,mace1250,language,Slavic,Indo-European,Eurasia,MK,41.6666666667,21.75,wals1,цимет <br>cimet<br>Language: Macedonian<br>Family: Indo-European
10,,Bosnian Standard,cimet,,cimet,kinnamon,bos,bosn1245,dialect,,Indo-European,Eurasia,BA HR ME RS,43.859,17.046,glot,cimet<br>Language: Bosnian Standard<br>Family: Indo-European
86,,Maori,hinamona,,hinamona,kinnamon,mri,maor1246,language,Oceanic,Austronesian,Papunesia,NZ,-40.0,176.0,wals1,hinamona<br>Language: Maori<br>Family: Austronesian
91,,Modern Hebrew,קינמון,kinamón,kinamón,kinnamon,heb,hebr1245,language,,Afro-Asiatic,Eurasia,IL JO LB PS SY,31.1056,35.0179,glot,קינמון<br>kinamón<br>Language: Modern Hebrew<br>Family: Afro-Asiatic
