,Unnamed: 0,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
1,1,nmn,xooo1239,!Xóõ,-24.0,21.5,Tu,Tu,Africa,BW,te,language,wals1
9,9,abq,abaz1241,Abaza,44.0,42.0,Northwest Caucasian,Northwest Caucasian,Eurasia,RU,cha,language,wals1
16,16,ace,achi1257,Acehnese,5.5,95.5,Malayo-Sumbawan,Austronesian,Eurasia,ID,te,language,wals1
34,34,afr,afri1274,Afrikaans,-31.0,22.0,Germanic,Indo-European,Africa,ZA,te,language,wals1
43,43,aht,ahte1237,Ahtna,62.0,-145.0,Athapaskan,Na-Dene,North America,US,cha,language,wals1
61,61,akz,alab1237,Alabama,32.3333333333,-87.4166666667,Muskogean,Muskogean,North America,US,other,language,wals1
66,66,aln,tosk1239,Albanian,41.0,20.0,Albanian,Indo-European,Eurasia,AL RS,cha,language,wals1
72,72,gsw,swis1247,Alsatian,48.5,7.5,Germanic,Indo-European,Eurasia,FR,te,language,wals1
91,91,amh,amha1245,Amharic,10.0,38.0,Semitic,Afro-Asiatic,Africa,ET,cha,language,wals1
131,131,arz,egyp1253,Arabic (Egyptian),30.0,31.0,Semitic,Afro-Asiatic,Africa,EG,cha,language,wals1
159,159,hye,nucl1235,Armenian (Eastern),40.0,45.0,Armenian,Indo-European,Eurasia,AM,te,language,wals1
168,168,asm,assa1263,Assamese,26.0,93.0,Indic,Indo-European,Eurasia,IN,cha,language,wals1
169,169,ast,astu1245,Asturian,43.25,-6.0,Romance,Indo-European,Eurasia,ES,te,language,wals1
173,173,tay,atay1247,Atayal,24.5,121.333333333,Atayalic,Austronesian,Papunesia,TW,other,language,wals1
198,198,azb,nort2697,Azerbaijani,40.5,48.5,Turkic,Altaic,Eurasia,AZ IR,cha,language,wals1
203,203,bfq,bada1257,Badaga,11.6666666667,76.75,Southern Dravidian,Dravidian,Eurasia,IN,te,language,wals1
