skip,language,term,transliteration,item,explanation,group,sense,source,katzer,katzer tr,checked,page,reference,link
,Afrikaans,peper,,peper,,pippali,spice,Wiktionary,,,,,,
,Akan,moko,,moko,?,other,spice,Wiktionary,,,"""=IF(ISBLANK(C3), F3, C3)""",,,
,Albanian,piper,,piper,,pippali,spice,Wiktionary,,,,,,
,Amharic,በርበሬ,bärbäre,bärbäre,,pippali,spice,Wiktionary,,,,,,
,Ancient Greek,πέπερι,péperi,péperi,related to stinging sensation,pippali,spice,Wiktionary,,,,,,
,Anglo-Norman,paîvre,,paîvre,,pippali,spice,Wiktionary,,,,,,
,Aramaic,ܦܠܦܠ,pelpel,pelpel,,pippali,,Katzer,,,,,,
,Archi,пилпил,pilpil,pilpil,,pippali,spice,Wiktionary,,,,,,
,Archi,istihoti,,istihoti,2. probably borrowed,other,spice,WOLD,,,,,,
,Armenian,"բիբար, պղպեղ","bibar, płpeł","bibar, płpeł",,pippali,spice,Wiktionary,,,,,,
,Armenian,տաքդեղ,takʿdeł,takʿdeł,"from տաք (takʿ, “hot”) +‎ դեղ (deł, “grass, herb”)",other,spice,Wiktionary,,,,,,https://en.wiktionary.org/wiki/%D5%BF%D5%A1%D6%84%D5%A4%D5%A5%D5%B2
,Aromanian,piper,,piper,,pippali,spice,Wiktionary,,,,,,
,Assamese,জলকীয়া,zolokia,zolokia,"probably from either জ্বলা (zola, “hot (taste), burning”) +‎ -অক (-ok, “adjectival suffix”) +‎ -ঈয়া (-ia, “adjectival suffix”) or জালুক (zaluk, “pepper”) +‎ -ঈয়া (-ia, “-ish, -y”).",other,spice,Wiktionary,"জালুক, গোল মৰিচ","Jaluk, Gol morich",,,,https://en.wiktionary.org/wiki/%E0%A6%9C%E0%A6%B2%E0%A6%95%E0%A7%80%E0%A6%AF%E0%A6%BC%E0%A6%BE#Assamese
,Asturian,pimientu,,pimientu,,pigment,spice,Wiktionary,,,,,,
,Atayal,mlúh,,mlúh,?,other,spice,Wiktionary,,,,,,
,Avar,пилпил,pilpil,pilpil,,pippali,spice,Wiktionary,,,,,,
,Azerbaijani,bibər,,bibər,,pippali,spice,Wiktionary,"Бибәр, Истиот","Bibər, İstiot",,,,
,Baluchi,پلپل‎,pilpil,pilpil,,pippali,spice,Wiktionary,,,,,,
,Baluchi,مرچ‎,mirc,mirc,,marica,spice,Wiktionary,,,,,,
,Bashkir,борос,boros,boros,,marica,spice,Wiktionary,,,,,,
,Basque,piperra,,piperra,,pippali,spice,Wiktionary,"Piper, Piperbeltza",,,,,
,Belarusian,пе́рац,pjérac,pjérac,,pippali,spice,Wiktionary,,,,,,
,Bengali,মরিচ ,môric,môric,,marica,spice,Wiktionary,গোল মরিচ,Golmorich,,,,
,Bezhta,p’ilp’il,,p’ilp’il,1. clearly borrowed,pippali,spice,WOLD,,,,,,
yes,Bodo,गलमरीस,golmoris,golmoris,,marica,,Katzer,,,,,,
